id,read,date added,name,author,type,link,rating,notes,checked out,student,export_id
deep-learning,FALSE,,Deep Learning,"Ian Goodfellow, Yoshua Bengio, Aaron Courville",physical,https://www.amazon.com/dp/0262035618?ref=ppx_yo2ov_dt_b_fed_asin_title,,,FALSE,,lec-library
linear-algebra-demystified,FALSE,,Linear Algebra Demystified,David McMahon,physical,https://www.amazon.com/dp/0071465790?ref=ppx_yo2ov_dt_b_fed_asin_title,,,FALSE,,lec-library
all-the-mathematics-you-missed,FALSE,,All the Mathematics You Missed,Thomas A. Garrity,physical,,,,FALSE,,lec-library
partial-differential-equations-for-scientists-and-engineers,FALSE,,Partial Differential Equations for Scientists and Engineers,Stanley J. Farlow,physical,,,,FALSE,,lec-library
convex-optimization,FALSE,,Convex Optimization,"Stephen Boyd, Lieven Vandenberghe",physical,,,,FALSE,,lec-library
differential-equations-and-linear-algebra,FALSE,,Differential Equations and Linear Algebra,Gilbert Strang,physical,,,,FALSE,,lec-library
not-with-a-bug-but-with-a-sticker,FALSE,,Not with a Bug but with a Sticker,"Ram Shankar Siva Kumar, Hyrum Anderson",physical,,,,FALSE,,lec-library
artificial-neural-networks-paradigms-applications-and-hardware-implementations,FALSE,,"Artificial Neural Networks: Paradigms, Applications, and Hardware Implementations","Edgar Sanchez-Sinencio, Clifford Lau",physical,,,,FALSE,,lec-library
artificial-intelligence-a-modern-approach-fourth-edition,FALSE,,Artificial Intelligence: A Modern Approach (Fourth Edition),"Stuart Russell, Peter Norvig",physical,,,,FALSE,,lec-library
linear-algebra-and-learning-from-data,FALSE,,Linear Algebra and Learning from Data,Gilbert Strang,physical,,,,FALSE,,lec-library
an-introduction-to-statistical-learning-with-applications-in-python,FALSE,,An Introduction to Statistical Learning with Applications in Python,"Gareth James, Daniela Witten, Trevor Hastie, Robert Tibshirani, Jonathan Taylor",physical,,,,FALSE,,lec-library
probabilistic-machine-learning-an-introduction,FALSE,,Probabilistic Machine Learning: An Introduction,Kevin P. Murphy,physical,,,,FALSE,,lec-library
empire-of-ai,FALSE,,Empire of AI,Karen Hao,physical,,,,FALSE,,lec-library
nexus-a-brief-history-of-information-networks-from-the-stone-age-to-ai,FALSE,,Nexus: A Brief History of Information Networks from the Stone Age to AI,Yuval Noah Harari,physical,,,,FALSE,,lec-library
deep-learning-foundations-and-concepts,FALSE,,Deep Learning: Foundations and Concepts,"Christopher M. Bishop, Hugh Bishop",physical,,,,FALSE,,lec-library
the-quest-for-artificial-intelligence,FALSE,,The Quest for Artificial Intelligence,Nils J. Nilsson,physical,,,,FALSE,,lec-library
weapons-of-math-destruction,FALSE,,Weapons of Math Destruction,Cathy O'Neil,physical,,,,FALSE,,lec-library
you-look-like-a-thing-and-i-love-you,FALSE,,You Look Like a Thing and I Love You,Janelle Shane,physical,,,,FALSE,,lec-library
artificial-intelligence,FALSE,,Artificial Intelligence,Patrick Henry Winston,physical,,,,FALSE,,lec-library
thinking-fast-and-slow,FALSE,,Thinking Fast and Slow,Daniel Kahneman,physical,,,,FALSE,,lec-library
the-singularity-is-nearer,FALSE,,The Singularity is Nearer,Ray Kurzweil,physical,,,,FALSE,,lec-library
the-alignment-problem-machine-learning-and-human-values,FALSE,,The Alignment Problem: Machine Learning and Human Values,Brian Christian,physical,,,,FALSE,,lec-library
artificial-intelligence-foundations-of-computational-agents,FALSE,,Artificial Intelligence: Foundations of Computational Agents,"David L. Poole, Alan K. Mackworth",physical,,,,FALSE,,lec-library
deep-learning-a-visual-approach,FALSE,,Deep Learning: A Visual Approach,Andrew Glassner,physical,,,,FALSE,,lec-library
the-statquest-illustrated-guide-to-neural-networks-and-ai,FALSE,,The StatQuest Illustrated Guide to Neural Networks and AI,Josh Starmer,physical,,,,FALSE,,lec-library
reinforcement-learning-an-introduction-second-edition,FALSE,,Reinforcement Learning: An Introduction (Second Edition),"Richard S. Sutton, Andrew G. Barto",physical,,,,FALSE,,lec-library
linear-algebra-with-applications-tenth-edition,FALSE,,Linear Algebra with Applications (Tenth Edition),"Steven J. Leon, Lisette de Pillis",physical,,,,FALSE,,lec-library
deep-learning-for-dummies,FALSE,,Deep Learning for Dummies,"John Paul Mueller, Luca Massaron",physical,https://www.amazon.com/Deep-Learning-Dummies-John-Mueller/dp/1119543045,,,TRUE,Dannylo Correia,lec-library
mathematics-for-machine-learning,FALSE,,Mathematics for Machine Learning,Marc Peter Deisenroth,physical,https://www.amazon.com/Mathematics-Machine-Learning-Peter-Deisenroth/dp/110845514X/ref=sr_1_1?crid=DXHWCCE6FCGJ&dib=eyJ2IjoiMSJ9.LVLu1o48uIjPNMruxkqyg0FAet8sMSa5_C8Ci5qfCix_UAdMm2fVJY4pq6TpbZUASGQ7T8l5ccod8S78g_lMGNIjZaQRuIu5mey56LxwZdPAlWF2t5w_4aWQCb5w1rBC6HaL13KTpMsG-8qm1nN-4un1cluIm_rW1B0kgc9l3mVVKw0yRPEswV2Orn3jIdHNvvQbtgCIQIuJyJT3vHgT49bouvHMseLEmeawcQMsMGo.aorFJutLD6in9VhV7-lAkGCaogRZS11gxjbu0P33m5I&dib_tag=se&keywords=Math+for+machine+learning&qid=1761338919&s=books&sprefix=math+for+machine+learning%2Cstripbooks%2C107&sr=1-1,,,TRUE,Kristofer Ulanday,lec-library
